,X,Y,Z
731,-0.07,-0.16,0.04
732,0.03,-0.13,0.1
733,0.03,-0.13,0.1
734,0.03,-0.13,0.1
735,-0.04,-0.1,-0.03
736,0.01,-0.1,-0.01
737,0.08,-0.08,0.08
738,0.08,-0.08,0.08
739,0.08,-0.08,0.08
740,0.08,-0.08,0.08
741,0.08,-0.08,0.08
742,0.01,-0.08,0.03
743,0.06,-0.05,0.08
744,0.11,-0.08,0.12
745,0.11,-0.08,0.12
746,0.11,-0.08,0.12
747,0.0,-0.08,0.06
748,0.0,-0.08,0.06
749,0.06,-0.16,0.05
750,0.13,-0.13,0.1
751,0.13,-0.13,0.1
752,0.08,-0.1,0.1
753,0.08,-0.1,0.1
754,0.01,-0.1,-0.01
755,0.01,-0.1,-0.01
756,0.01,-0.1,-0.01
757,0.13,-0.13,0.15
758,0.13,-0.13,0.15
759,0.01,-0.08,-0.01
760,0.01,-0.08,-0.01
761,0.01,-0.08,-0.01
762,0.08,-0.1,0.15
763,0.08,-0.1,0.15
764,0.16,-0.1,0.07
765,0.16,-0.1,0.07
766,0.16,-0.1,0.07
767,0.16,-0.1,0.07
768,0.16,-0.1,0.07
769,0.14,-0.08,0.0
770,0.14,-0.08,0.0
771,0.09,-0.13,-0.02
772,0.09,-0.13,-0.02
773,0.09,-0.13,-0.02
774,0.11,-0.08,0.03
775,0.11,-0.08,0.03
776,0.11,-0.1,0.03
777,0.11,-0.1,0.03
778,0.11,-0.1,0.03
779,0.07,-0.08,-0.07
780,0.07,-0.08,-0.07
781,0.14,-0.1,0.05
782,0.14,-0.1,0.05
783,0.14,-0.1,0.05
784,0.02,-0.13,-0.11
785,0.02,-0.13,-0.11
786,0.08,-0.13,0.05
787,0.08,-0.13,0.05
788,0.08,-0.13,0.05
789,0.07,-0.11,-0.07
790,0.07,-0.11,-0.07
791,0.04,-0.08,-0.09
792,0.04,-0.08,-0.09
793,0.04,-0.08,-0.09
794,0.04,-0.08,-0.09
795,0.04,-0.08,-0.09
796,-0.09,-0.08,-0.1
797,-0.09,-0.08,-0.1
798,-0.1,-0.05,-0.03
799,-0.1,-0.05,-0.03
800,-0.1,-0.05,-0.03
801,-0.07,-0.08,-0.08
802,-0.07,-0.08,-0.08
803,0.12,-0.05,-0.13
804,0.12,-0.05,-0.13
805,0.12,-0.05,-0.13
806,0.01,-0.08,0.01
807,0.01,-0.08,0.01
808,-0.14,-0.1,-0.17
809,-0.14,-0.1,-0.17
810,0.07,-0.1,-0.03
811,-0.05,-0.08,0.04
812,-0.05,-0.08,0.04
813,-0.04,-0.1,-0.11
814,-0.04,-0.1,-0.11
815,-0.04,-0.1,-0.11
816,-0.07,-0.05,-0.06
817,-0.07,-0.05,-0.06
818,0.01,-0.08,-0.06
819,0.01,-0.08,-0.06
820,0.06,-0.1,-0.11
821,0.06,-0.1,-0.11
822,-0.1,-0.08,-0.03
823,-0.04,-0.08,-0.03
824,-0.04,-0.08,-0.03
825,-0.04,-0.1,-0.06
826,-0.04,-0.1,-0.06
827,-0.04,-0.1,-0.06
828,-0.12,-0.08,-0.08
829,-0.04,-0.1,-0.03
830,-0.02,-0.08,-0.01
831,0.02,-0.05,-0.04
832,-0.06,-0.1,-0.13
833,-0.17,-0.08,-0.15
834,-0.17,-0.08,-0.15
835,-0.02,-0.08,-0.04
836,-0.04,-0.05,-0.01
837,-0.01,-0.1,-0.08
838,-0.09,-0.08,-0.13
839,-0.14,-0.13,-0.1
840,-0.1,-0.08,-0.03
841,-0.1,-0.08,-0.03
842,-0.07,-0.05,-0.01
843,-0.04,-0.1,-0.06
844,-0.06,-0.1,-0.11
845,-0.15,-0.05,-0.08
846,-0.15,-0.05,-0.08
847,-0.04,-0.08,-0.01
848,0.01,-0.1,-0.01
849,0.01,-0.1,-0.01
850,-0.07,-0.08,-0.08
851,-0.07,-0.08,-0.08
852,0.1,-0.02,-0.03
853,0.1,-0.02,-0.03
854,0.1,-0.02,-0.03
855,-0.02,-0.05,0.04
856,-0.02,-0.05,0.04
857,0.15,-0.08,-0.05
858,0.15,-0.08,-0.05
859,0.15,-0.08,-0.05
860,0.0,-0.05,0.11
861,0.0,-0.05,0.11
862,-0.04,-0.08,-0.03
863,-0.04,-0.08,-0.03
864,-0.04,-0.08,-0.03
865,-0.03,-0.05,0.11
866,-0.03,-0.05,0.11
867,-0.02,-0.02,0.04
868,-0.02,-0.02,0.04
869,-0.02,-0.02,0.04
870,-0.07,-0.08,0.02
871,-0.07,-0.08,0.02
872,-0.05,-0.05,0.06
873,-0.05,-0.05,0.06
874,-0.05,-0.05,0.06
875,-0.18,-0.05,0.02
876,-0.18,-0.05,0.02
877,-0.07,-0.02,0.02
