Bx,By,Bz
1.599370171242529004e+01,-1.062866924441943084e+01,-3.674262033636538405e+01
1.597820387535848674e+01,-1.064130149057871400e+01,-3.678093076058750910e+01
1.596271872757884047e+01,-1.065388345677048321e+01,-3.681925812906266771e+01
1.594724625331067536e+01,-1.066641511663964437e+01,-3.685760239356621781e+01
1.593178643725952348e+01,-1.067889644462631971e+01,-3.689596350624494647e+01
1.591633926460620607e+01,-1.069132741595837111e+01,-3.693434141962491424e+01
1.590090472156308010e+01,-1.070370800668901090e+01,-3.697273608887800123e+01
1.588548279311538991e+01,-1.071603819350552911e+01,-3.701114746279228029e+01
1.587007346639706284e+01,-1.072831795400136201e+01,-3.704957549733256172e+01
1.585467672842755604e+01,-1.074054726647892721e+01,-3.708802014661297619e+01
1.583929256667020802e+01,-1.075272610998983680e+01,-3.712648136516192210e+01
1.582392096902587753e+01,-1.076485446432730342e+01,-3.716495910792990287e+01
1.580856192382665348e+01,-1.077693231001772922e+01,-3.720345333029426627e+01
1.579321542037708070e+01,-1.078895962833796673e+01,-3.724196399033604621e+01
1.577788144675442084e+01,-1.080093640120474774e+01,-3.728049103977173928e+01
1.576255999309483613e+01,-1.081286261132472859e+01,-3.731903443756936412e+01
1.574725104938964826e+01,-1.082473824207801449e+01,-3.735759414088275321e+01
1.573195460602855000e+01,-1.083656327753767812e+01,-3.739617010732510494e+01
1.571667065379300965e+01,-1.084833770246152795e+01,-3.743476229497471763e+01
1.570139918384963806e+01,-1.086006150228372746e+01,-3.747337066238069525e+01
1.568614018827662271e+01,-1.087173466311110026e+01,-3.751199517084609880e+01
1.567089365792224065e+01,-1.088335717169308658e+01,-3.755063577532483521e+01
1.565565958560353899e+01,-1.089492901544996784e+01,-3.758929243808779574e+01
1.564043796396044073e+01,-1.090645018243688646e+01,-3.762796511962175572e+01
1.562522878598423404e+01,-1.091792066134302175e+01,-3.766665378091144589e+01
1.561003204501062491e+01,-1.092934044148291939e+01,-3.770535838344444812e+01
1.559484773471295327e+01,-1.094070951278768433e+01,-3.774407888921559362e+01
1.557967584909537173e+01,-1.095202786579635656e+01,-3.778281526073186569e+01
1.556451638300270979e+01,-1.096329549162879857e+01,-3.782156746330293373e+01
1.554936933004456101e+01,-1.097451238204676827e+01,-3.786033545590176175e+01
1.553423468569497068e+01,-1.098567852934449895e+01,-3.789911920488289354e+01
1.551911244521224909e+01,-1.099679392640399556e+01,-3.793791867484541314e+01
1.550400260415115383e+01,-1.100785856667049956e+01,-3.797673383092087107e+01
1.548890515835568493e+01,-1.101887244414357525e+01,-3.801556463877784608e+01
1.547382010395207352e+01,-1.102983555336819421e+01,-3.805441106462599521e+01
1.545874743784441918e+01,-1.104074788938743623e+01,-3.809327307751248526e+01
1.544368715569491712e+01,-1.105160944788289967e+01,-3.813215064015426492e+01
1.542863925493915467e+01,-1.106242022494543598e+01,-3.817104372269662349e+01
1.541360373276225637e+01,-1.107318021720969092e+01,-3.820995229354679878e+01
1.539858058659656770e+01,-1.108388942180955539e+01,-3.824887632166904439e+01
1.538356981411470947e+01,-1.109454783636899222e+01,-3.828781577658779156e+01
1.536857141322234277e+01,-1.110515545899251677e+01,-3.832677062839010773e+01
1.535358538254050664e+01,-1.111571228819784807e+01,-3.836574085002677492e+01
1.533861171944043100e+01,-1.112621832313541681e+01,-3.840472640812018312e+01
